comment,label
"Parfum ini jauh dari ekspektasi, kecewa. untuk harga segini.",negative
"Parfum ini jauh dari ekspektasi, kecewa. waktu dipakai.",negative
Wanginya aneh dan nggak enak dipakai. sejauh ini.,negative
Wanginya terlalu kuat dan bikin tidak nyaman. waktu dipakai.,negative
"Aromanya nggak tahan lama, cepat hilang. menurut saya.",negative
"Aromanya mirip parfum murah, gak worth it. sejauh ini.",negative
"Aromanya hambar, hampir tidak tercium.",negative
Wanginya aneh dan nggak enak dipakai. untuk harga segini.,negative
"Parfum ini jauh dari ekspektasi, kecewa. menurut saya.",negative
Wanginya tidak awet sama sekali. sejauh ini.,negative
Wanginya aneh dan nggak enak dipakai. menurut saya.,negative
"Aromanya mirip parfum murah, gak worth it.",negative
"Parfum ini jauh dari ekspektasi, kecewa. menurut saya.",negative
"Parfumnya terlalu menyengat, bikin pusing.",negative
Wanginya aneh dan nggak enak dipakai. untuk harga segini.,negative
"Aromanya hambar, hampir tidak tercium.",negative
"Parfum ini jauh dari ekspektasi, kecewa.",negative
Wanginya aneh dan nggak enak dipakai. sejauh ini.,negative
"Aromanya nggak tahan lama, cepat hilang. menurut saya.",negative
"Aromanya hambar, hampir tidak tercium. sejauh ini.",negative
"Parfum ini jauh dari ekspektasi, kecewa. menurut saya.",negative
"Aromanya mirip parfum murah, gak worth it.",negative
"Aromanya hambar, hampir tidak tercium. waktu dipakai.",negative
"Parfumnya bikin alergi, nggak cocok. sejauh ini.",negative
"Parfum ini jauh dari ekspektasi, kecewa. menurut saya.",negative
Wanginya aneh dan nggak enak dipakai. sejauh ini.,negative
"Aromanya mirip parfum murah, gak worth it. menurut saya.",negative
"Aromanya mirip parfum murah, gak worth it. untuk harga segini.",negative
"Aromanya nggak tahan lama, cepat hilang. untuk harga segini.",negative
"Parfumnya terlalu menyengat, bikin pusing. menurut saya.",negative
"Parfum ini jauh dari ekspektasi, kecewa.",negative
"Parfumnya terlalu menyengat, bikin pusing.",negative
"Aromanya nggak tahan lama, cepat hilang. waktu dipakai.",negative
"Aromanya nggak tahan lama, cepat hilang. waktu dipakai.",negative
"Aromanya hambar, hampir tidak tercium.",negative
"Parfumnya bikin alergi, nggak cocok.",negative
"Tidak buruk, tapi tidak terlalu bagus juga. waktu dipakai.",neutral
Parfum ini oke untuk pemakaian singkat.,neutral
Wanginya netral dan tidak terlalu mencolok. untuk harga segini.,neutral
"Aromanya lumayan, standar. untuk harga segini.",neutral
"Aromanya lumayan, standar. untuk harga segini.",neutral
"Tidak buruk, tapi tidak terlalu bagus juga. menurut saya.",neutral
"Tidak buruk, tapi tidak terlalu bagus juga. menurut saya.",neutral
"Aromanya lumayan, standar.",neutral
Wanginya netral dan tidak terlalu mencolok.,neutral
Parfum ini oke untuk pemakaian singkat. untuk harga segini.,neutral
"Tidak buruk, tapi tidak terlalu bagus juga. menurut saya.",neutral
Wanginya netral dan tidak terlalu mencolok. menurut saya.,neutral
Wanginya netral dan tidak terlalu mencolok. menurut saya.,neutral
Wanginya netral dan tidak terlalu mencolok.,neutral
"Aromanya lumayan, standar. menurut saya.",neutral
"Parfumnya biasa saja, tidak terlalu istimewa. sejauh ini.",neutral
"Aromanya lumayan, standar. sejauh ini.",neutral
"Parfumnya biasa saja, tidak terlalu istimewa.",neutral
"Aromanya lumayan, standar.",neutral
Wanginya netral dan tidak terlalu mencolok.,neutral
Parfum ini oke untuk pemakaian singkat. menurut saya.,neutral
"Aromanya lumayan, standar. sejauh ini.",neutral
Wanginya netral dan tidak terlalu mencolok. untuk harga segini.,neutral
Wanginya netral dan tidak terlalu mencolok.,neutral
"Aromanya lumayan, standar. waktu dipakai.",neutral
Parfum ini oke untuk pemakaian singkat. untuk harga segini.,neutral
"Parfumnya biasa saja, tidak terlalu istimewa. waktu dipakai.",neutral
Parfum ini oke untuk pemakaian singkat. untuk harga segini.,neutral
"Tidak buruk, tapi tidak terlalu bagus juga.",neutral
"Parfumnya biasa saja, tidak terlalu istimewa. sejauh ini.",neutral
Wanginya netral dan tidak terlalu mencolok. menurut saya.,neutral
"Tidak buruk, tapi tidak terlalu bagus juga. untuk harga segini.",neutral
Parfum ini oke untuk pemakaian singkat. untuk harga segini.,neutral
Wanginya netral dan tidak terlalu mencolok. menurut saya.,neutral
"Aromanya lumayan, standar.",neutral
"Aromanya lumayan, standar. sejauh ini.",neutral
Wanginya netral dan tidak terlalu mencolok.,neutral
Wanginya netral dan tidak terlalu mencolok. sejauh ini.,neutral
"Parfumnya biasa saja, tidak terlalu istimewa. untuk harga segini.",neutral
Wanginya netral dan tidak terlalu mencolok. sejauh ini.,neutral
"Aromanya lumayan, standar. waktu dipakai.",neutral
"Tidak buruk, tapi tidak terlalu bagus juga. sejauh ini.",neutral
Wanginya netral dan tidak terlalu mencolok. menurut saya.,neutral
Parfum ini oke untuk pemakaian singkat.,neutral
Wanginya netral dan tidak terlalu mencolok. untuk harga segini.,neutral
"Tidak buruk, tapi tidak terlalu bagus juga. sejauh ini.",neutral
"Tidak buruk, tapi tidak terlalu bagus juga. sejauh ini.",neutral
"Aromanya lumayan, standar. sejauh ini.",neutral
Parfum ini oke untuk pemakaian singkat.,neutral
Parfum ini oke untuk pemakaian singkat. sejauh ini.,neutral
